price_m2,price,m2,location
61728元/㎡,500万,81㎡,"吴东小区
徐家汇 吴中东路500弄"
73145元/㎡,630万,86.13㎡,"裕德大厦
徐家汇 裕德路92弄1-11号"
87642元/㎡,300万,34.23㎡,"柿子湾小区
徐家汇 宜山路220弄、宜山路250弄"
66150元/㎡,760万,114.89㎡,"上影广场(徐汇)
徐家汇 零陵路791弄3号楼"
89048元/㎡,670万,75.24㎡,"汇翠花园
徐家汇 漕溪北路737弄"
107255元/㎡,1360万,126.8㎡,"虹桥乐庭铂晶馆
徐家汇 虹桥路666弄1-2号"
99930元/㎡,720万,72.05㎡,"徐虹华庭
徐家汇 徐虹北路5弄"
101810元/㎡,1580万,155.19㎡,"莱诗邸
徐家汇 南丹东路223弄"
105126元/㎡,730万,69.44㎡,"汇贤雅居
徐家汇 南丹路368弄"
88153元/㎡,980万,111.17㎡,"金诚花园
徐家汇 中山西路2099弄"
83346元/㎡,1550万,185.97㎡,"青之杰花园
徐家汇 虹桥路178弄、宜山路55号"
111058元/㎡,1400万,126.06㎡,"名仕苑
徐家汇 广元西路98号、广元西路108号"
63307元/㎡,490万,77.4㎡,"吴东小区
徐家汇 吴中东路500弄"
84581元/㎡,960万,113.5㎡,"金诚花园
徐家汇 中山西路2099弄"
77724元/㎡,500万,64.33㎡,"玉兰花苑
徐家汇 蒲汇塘路50弄"
78065元/㎡,368万,47.14㎡,"虹桥路400弄小区
徐家汇 虹桥路400弄"
74302元/㎡,700万,94.21㎡,"玉兰花苑
徐家汇 蒲汇塘路50弄"
97633元/㎡,920万,94.23㎡,"鑫城苑
徐家汇 淮海西路343号"
76951元/㎡,420万,54.58㎡,"漕溪大楼
徐家汇 漕溪大楼"
97688元/㎡,300万,30.71㎡,"番南小区
徐家汇 番南小区"
92388元/㎡,1090万,117.98㎡,"虹桥丽园
徐家汇 虹桥路591弄"
90696元/㎡,310万,34.18㎡,"徐虹路112弄小区
徐家汇 徐虹路112弄"
78771元/㎡,990万,125.68㎡,"海斯大厦
徐家汇 华山路1765弄1、2号"
91072元/㎡,910万,99.92㎡,"明辉苑
徐家汇 宜山路406弄1-8号"
84302元/㎡,768万,91.1㎡,"虹桥路400弄小区
徐家汇 虹桥路400弄"
100128元/㎡,700万,69.91㎡,"汇贤雅居
徐家汇 南丹路368弄"
95655元/㎡,1200万,125.45㎡,"颐峰苑
徐家汇 汇站街126弄"
79365元/㎡,580万,73.08㎡,"南宜花苑
徐家汇 宜山路408弄1-22号"
94545元/㎡,988万,104.5㎡,"徐虹华庭
徐家汇 徐虹北路5弄"
73651元/㎡,710万,96.4㎡,"庆余公寓
徐家汇 徐虹北路22弄"
58641元/㎡,360万,61.39㎡,"吴东小区
徐家汇 吴中东路500弄"
91863元/㎡,980万,106.68㎡,"宜德苑
徐家汇 古宜路99弄"
89048元/㎡,670万,75.24㎡,"汇翠花园
徐家汇 漕溪北路737弄"
