rent,m2,location
5800元/月,53㎡,徐汇-康健-寿昌坊
5000元/月,53㎡,徐汇-康健-长丰坊
6000元/月,55㎡,徐汇-康健-长丰坊
4500元/月,55㎡,徐汇-康健-寿祥坊
5400元/月,60㎡,徐汇-康健-薛家宅小区
4725元/月,58㎡,徐汇-康健-钦州南路300弄小区
5600元/月,65㎡,徐汇-康健-欣园新村
8300元/月,72㎡,徐汇-康健-科苑新村
5200元/月,57㎡,徐汇-康健-康强坊
6800元/月,75㎡,徐汇-康健-钦州路111弄小区
7500元/月,94㎡,徐汇-康健-钦州路111弄小区
6500元/月,71㎡,徐汇-康健-紫薇园(徐汇)
5000元/月,54㎡,徐汇-康健-长丰坊
4500元/月,37㎡,徐汇-康健-康乐小区(徐汇)
5600元/月,52㎡,徐汇-康健-康乐小区(徐汇)
5250元/月,52㎡,徐汇-康健-寿昌坊
4500元/月,23㎡,徐汇-康健-康健路100弄小区
5000元/月,51㎡,徐汇-康健-长丰坊
4980元/月,54㎡,徐汇-康健-紫竹园
5500元/月,45㎡,徐汇-康健-薛家宅小区
4200元/月,38㎡,徐汇-康健-寿昌坊
4300元/月,45㎡,徐汇-康健-玉兰园
6120元/月,63㎡,徐汇-康健-玉兰园
3990元/月,43㎡,徐汇-康健-杜鹃园
13500元/月,128㎡,徐汇-康健-梓树园
4200元/月,35㎡,徐汇-康健-长丰坊
4500元/月,61㎡,徐汇-康健-钦州路111弄小区
6000元/月,59㎡,徐汇-康健-康健路100弄小区
